code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.AMD,Advanced Micro Devices,2025-09-10,163.54,159.54,164.525,158.0,159.54,0.03272,52465270.0,8413729848.0,2.3873700423565647,155.82
US.AMD,Advanced Micro Devices,2025-09-11,158.62,155.67,160.21,154.99,155.67,0.03045,48817715.0,7630362548.0,-2.42572395637458,159.54
US.AMD,Advanced Micro Devices,2025-09-12,157.0,158.57,160.41,154.92,158.57,0.02634,42232777.0,6669344535.0,1.8629151410034084,155.67
US.AMD,Advanced Micro Devices,2025-09-15,160.01,161.16,162.3,157.6012,161.16,0.02296,36808726.0,5888718054.0,1.6333480481806166,158.57
US.AMD,Advanced Micro Devices,2025-09-16,161.37,160.46,161.95,159.22,160.46,0.01743,27946478.0,4483082740.0,-0.43435095557209524,161.16
US.AMD,Advanced Micro Devices,2025-09-17,159.28,159.16,161.63,155.76,159.16,0.02608,41823842.0,6650267246.0,-0.8101707590676875,160.46
US.AMD,Advanced Micro Devices,2025-09-18,150.96,157.92,158.7699,149.85,157.92,0.05273,84549468.0,13070856216.0,-0.7790902236742957,159.16
US.AMD,Advanced Micro Devices,2025-09-19,157.38,157.39,159.84,155.9,157.39,0.03458,55448076.0,8730712350.0,-0.3356129685916927,157.92
US.AMD,Advanced Micro Devices,2025-09-22,157.42,159.79,162.68,157.42,159.79,0.029,46505480.0,7469215607.0,1.5248745155346628,157.39
US.AMD,Advanced Micro Devices,2025-09-23,160.52,160.9,163.39,159.21,160.9,0.0246,39448320.0,6359027453.0,0.6946617435384027,159.79
US.AMD,Advanced Micro Devices,2025-09-24,162.98,160.88,165.1,158.43,160.88,0.02399,38464120.0,6210277473.0,-0.01243008079553153,160.9
US.AMD,Advanced Micro Devices,2025-09-25,157.135,161.27,161.63,154.7798,161.27,0.02296,36809877.0,5863446822.0,0.2424167081054294,160.88
US.AMD,Advanced Micro Devices,2025-09-26,160.52,159.46,162.11,157.05,159.46,0.01891,30316931.0,4821762077.0,-1.1223414150182935,161.27
US.AMD,Advanced Micro Devices,2025-09-29,160.12,161.36,164.3,159.9,161.36,0.02484,39828794.0,6463364814.0,1.1915213846732757,159.46
US.AMD,Advanced Micro Devices,2025-09-30,160.795,161.79,162.28,159.33,161.79,0.0185,29669331.0,4773186554.0,0.26648487853246056,161.36
US.AMD,Advanced Micro Devices,2025-10-01,160.93,164.01,164.18,160.49,164.01,0.02488,39895177.0,6490870039.0,1.3721490821435187,161.79
US.AMD,Advanced Micro Devices,2025-10-02,168.675,169.73,171.06,166.12,169.73,0.0346,55475228.0,9381835528.0,3.4875922199865856,164.01
US.AMD,Advanced Micro Devices,2025-10-03,170.68,164.67,170.68,163.14,164.67,0.02663,42699147.0,7121636752.0,-2.9812054439403775,169.73
US.AMD,Advanced Micro Devices,2025-10-06,226.445,203.71,226.709,203.01,203.71,0.15521,248859576.0,52675116145.0,23.708022104815708,164.67
US.AMD,Advanced Micro Devices,2025-10-07,214.85,211.51,218.9,209.28,211.51,0.07219,115748143.0,24673974854.0,3.8289725590299852,203.71
US.AMD,Advanced Micro Devices,2025-10-08,212.95,235.56,235.87,210.695,235.56,0.09978,159983459.0,36340384658.0,11.370620774431476,211.51
US.AMD,Advanced Micro Devices,2025-10-09,236.3,232.89,240.1,229.53,232.89,0.05881,94290740.0,22084574315.0,-1.1334691798268026,235.56
US.AMD,Advanced Micro Devices,2025-10-10,232.77,214.9,234.22,213.2001,214.9,0.074,118656636.0,26198556435.0,-7.724676886083551,232.89
US.AMD,Advanced Micro Devices,2025-10-13,220.2,216.42,224.1899,214.9,216.42,0.03936,63104021.0,13798757982.0,0.7073057235923601,214.9
US.AMD,Advanced Micro Devices,2025-10-14,219.2,218.09,224.98,215.9,218.09,0.04442,71216269.0,15690081141.0,0.7716477220220017,216.42
