code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.AMZN,Amazon,2025-08-06,214.695,222.31,222.65,213.7409,40.2,0.00568,54823045.0,12029815715.0,4.004678362573101,213.75
US.AMZN,Amazon,2025-08-07,221.0,223.13,226.22,220.82,40.349,0.00421,40603513.0,9060093155.0,0.3688543025504895,222.31
US.AMZN,Amazon,2025-08-08,223.14,222.69,223.8,221.8836,40.269,0.00342,32970477.0,7341528865.0,-0.19719446062833224,223.13
US.AMZN,Amazon,2025-08-11,221.78,221.3,223.05,220.4,40.018,0.00328,31646222.0,7006047300.0,-0.6241860882841557,222.69
US.AMZN,Amazon,2025-08-12,222.23,221.47,223.5,219.05,40.048,0.00386,37254707.0,8248653474.0,0.0768187980117431,221.3
US.AMZN,Amazon,2025-08-13,222.0,224.56,224.9185,222.0,40.607,0.00379,36508335.0,8177304886.0,1.3952228292771045,221.47
US.AMZN,Amazon,2025-08-14,227.4,230.98,233.11,227.02,41.768,0.00638,61545824.0,14186434876.0,2.8589241182757337,224.56
US.AMZN,Amazon,2025-08-15,232.58,231.03,234.08,229.807,41.777,0.00411,39649244.0,9174268196.0,0.021646895835142163,230.98
US.AMZN,Amazon,2025-08-18,230.225,231.49,231.91,228.33,41.86,0.00262,25248890.0,5821865868.0,0.1991083409081106,231.03
US.AMZN,Amazon,2025-08-19,230.09,228.01,230.5283,227.12,41.231,0.0031,29891012.0,6825382782.0,-1.503304678387843,231.49
US.AMZN,Amazon,2025-08-20,227.12,223.81,227.27,220.915,40.471,0.0038,36604319.0,8187452088.0,-1.8420244726108455,228.01
US.AMZN,Amazon,2025-08-21,222.65,221.95,222.78,220.5,40.135,0.00333,32140459.0,7124619244.0,-0.8310620615700879,223.81
US.AMZN,Amazon,2025-08-22,222.79,228.84,229.14,220.82,41.381,0.00387,37315341.0,8466291594.0,3.1043027708943525,221.95
US.AMZN,Amazon,2025-08-25,227.35,227.94,229.6,227.31,41.218,0.00235,22633695.0,5170328916.0,-0.3932878867330911,228.84
US.AMZN,Amazon,2025-08-26,227.11,228.71,229.0,226.02,41.358,0.00271,26105373.0,5956668858.0,0.3378081951390762,227.94
US.AMZN,Amazon,2025-08-27,228.57,229.12,229.87,227.81,41.432,0.0022,21254479.0,4867147308.0,0.17926631979362362,228.71
US.AMZN,Amazon,2025-08-28,229.005,231.6,232.71,228.02,41.88,0.00349,33679585.0,7791226818.0,1.0824022346368671,229.12
US.AMZN,Amazon,2025-08-29,231.32,229.0,231.8125,228.16,41.41,0.00272,26199170.0,6004068195.0,-1.1226252158894623,231.6
US.AMZN,Amazon,2025-09-02,223.52,225.34,226.17,221.83,40.748,0.00403,38843883.0,8722046348.0,-1.598253275109169,229.0
US.AMZN,Amazon,2025-09-03,225.21,225.99,227.1699,224.36,40.866,0.00303,29223134.0,6600651357.0,0.2884530043489863,225.34
US.AMZN,Amazon,2025-09-04,231.185,235.68,235.77,230.78,42.618,0.00616,59391779.0,13901390777.0,4.287800345148014,225.99
US.AMZN,Amazon,2025-09-05,235.19,232.33,236.0,231.93,42.012,0.00381,36721802.0,8572765113.0,-1.4214188730481985,235.68
US.AMZN,Amazon,2025-09-08,234.94,235.84,237.6,233.75,42.647,0.00352,33947104.0,8008672169.0,1.5107820772177467,232.33
US.AMZN,Amazon,2025-09-09,236.355,238.24,238.85,235.08,43.081,0.0028,27033778.0,6416533386.0,1.0176390773405724,235.84
US.AMZN,Amazon,2025-09-10,237.515,230.33,237.68,229.0962,41.65,0.00632,60907714.0,14122114510.0,-3.3201813297515095,238.24
US.AMZN,Amazon,2025-09-11,231.49,229.95,231.53,229.3377,41.582,0.00389,37485598.0,8640706623.0,-0.1649806798940754,230.33
US.AMZN,Amazon,2025-09-12,230.35,228.15,230.79,226.29,41.256,0.00399,38496218.0,8793879026.0,-0.7827788649706384,229.95
US.AMZN,Amazon,2025-09-15,230.625,231.43,233.73,230.32,41.849,0.00345,33243328.0,7701972523.0,1.4376506684198997,228.15
US.AMZN,Amazon,2025-09-16,232.935,234.05,235.9,232.23,42.323,0.00396,38203912.0,8955332685.0,1.1320917772112538,231.43
US.AMZN,Amazon,2025-09-17,233.77,231.62,234.3,228.71,41.884,0.00444,42815230.0,9896436850.0,-1.0382396923734274,234.05
US.AMZN,Amazon,2025-09-18,232.5,231.23,233.48,228.79,41.813,0.00393,37931738.0,8782000513.0,-0.16837924186167635,231.62
